电影名字,电影链接,评分,评分人数,导演,主演,年份,国家,类型,一句话评价
教父/TheGodfather/MarioPuzo'sTheGodfather,https://movie.douban.com/subject/1291841/,9.3,1028330,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 马龙·白兰度 M...,1972,美国,剧情犯罪,千万不要记恨你的对手，这样会让你失去理智。
触不可及/Intouchables/闪亮人生(港)/逆转人生(台),https://movie.douban.com/subject/6786002/,9.3,1195833,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主...,2011,法国,剧情喜剧,满满温情的高雅喜剧。
当幸福来敲门/ThePursuitofHappyness/寻找快乐的故事(港)/追求快乐,https://movie.douban.com/subject/1849031/,9.2,1595140,导演: 加布里尔·穆奇诺 Gabriele Muccino,主演: 威尔·史密斯 Will Smith ...,2006,美国,剧情传记家庭,平民励志片。
寻梦环游记/Coco/玩转极乐园(港)/可可夜总会(台),https://movie.douban.com/subject/20495023/,9.1,1804260,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,主演: ...,2017,美国,喜剧动画奇幻音乐,死亡不是真的逝去，遗忘才是永恒的消亡。
末代皇帝/TheLastEmperor/末代皇帝溥仪(港)/L'ultimoimperatore,https://movie.douban.com/subject/1293172/,9.3,950233,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,主演: 尊龙 John Lone / 陈...,1987,英国意大利中国大陆法国,剧情传记历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
龙猫/となりのトトロ/邻居托托罗/邻家的豆豆龙,https://movie.douban.com/subject/1291560/,9.2,1332760,导演: 宫崎骏 Hayao Miyazaki,主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画奇幻冒险,人人心中都有个龙猫，童年就永远不会消失。
怦然心动/Flipped/萌动青春/青春萌动,https://movie.douban.com/subject/3319755/,9.1,1930550,导演: 罗伯·莱纳 Rob Reiner,主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情喜剧爱情,真正的幸福是来自内心深处。
哈利·波特与魔法石/HarryPotterandtheSorcerer'sStone/哈利波特1：神秘的魔法石(港/台),https://movie.douban.com/subject/1295038/,9.2,1280838,导演: Chris Columbus,主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国英国,奇幻冒险,童话世界的开端。
活着/人生/Lifetimes,https://movie.douban.com/subject/1292365/,9.3,903356,导演: 张艺谋 Yimou Zhang,主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆中国香港,剧情历史家庭,张艺谋最好的电影。
蝙蝠侠：黑暗骑士/TheDarkKnight/蝙蝠侠前传2：黑暗骑士/黑暗骑士(台),https://movie.douban.com/subject/1851857/,9.2,1122484,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 克里斯蒂安·贝尔 Christ...,2008,美国英国,剧情动作科幻犯罪惊悚,无尽的黑暗。
